---------------------------------

Execution of S1 for Single Linked list:

---------------------------------

---------------------------------

**** Before Team Of Four Operation  ****


1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 51 52 
53 54 55 56 
57 58 59 60 
61 62 63 64 
65 66 67 68 
69 70 71 72 
73 74 75 76 
77 78 79 80 
81 82 83 84 
85 86 87 88 
89 90 91 92 
93 94 95 96 
97 98 99 100 

**** After Team Of Four Operation ****


1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 51 52 
53 54 55 56 
57 58 59 60 
61 62 63 64 
65 66 67 68 
69 70 71 72 
73 74 75 76 
77 78 79 80 
81 82 83 84 
85 86 87 88 
89 90 91 92 
93 94 95 96 
97 98 99 100 

---------------------------------

---------------------------------

**** Before Reverse Operation  ****


1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 51 52 
53 54 55 56 
57 58 59 60 
61 62 63 64 
65 66 67 68 
69 70 71 72 
73 74 75 76 
77 78 79 80 
81 82 83 84 
85 86 87 88 
89 90 91 92 
93 94 95 96 
97 98 99 100 

**** After Reverse Operation  ****s


100 99 98 97 
96 95 94 93 
92 91 90 89 
88 87 86 85 
84 83 82 81 
80 79 78 77 
76 75 74 73 
72 71 70 69 
68 67 66 65 
64 63 62 61 
60 59 58 57 
56 55 54 53 
52 51 50 49 
48 47 46 45 
44 43 42 41 
40 39 38 37 
36 35 34 33 
32 31 30 29 
28 27 26 25 
24 23 22 21 
20 19 18 17 
16 15 14 13 
12 11 10 9 
8 7 6 5 
4 3 2 1 

---------------------------------

---------------------------------

**** Before shuffling opearion ****

** first half **

1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 

** second half **

51 52 53 54 
55 56 57 58 
59 60 61 62 
63 64 65 66 
67 68 69 70 
71 72 73 74 
75 76 77 78 
79 80 81 82 
83 84 85 86 
87 88 89 90 
91 92 93 94 
95 96 97 98 
99 100 

**** After shuffling opearion ****

1 51 2 52 
3 53 4 54 
5 55 6 56 
7 57 8 58 
9 59 10 60 
11 61 12 62 
13 63 14 64 
15 65 16 66 
17 67 18 68 
19 69 20 70 
21 71 22 72 
23 73 24 74 
25 75 26 76 
27 77 28 78 
29 79 30 80 
31 81 32 82 
33 83 34 84 
35 85 36 86 
37 87 38 88 
39 89 40 90 
41 91 42 92 
43 93 44 94 
45 95 46 96 
47 97 48 98 
49 99 50 100 

---------------------------------

-----------------------------------------------------

---------------------------------

Execution of S2 for Single Linked list:

---------------------------------

---------------------------------

**** Before Team Of Four Operation  ****


16807 282475249 1622650073 984943658 
1144108930 470211272 101027544 1457850878 
1458777923 2007237709 823564440 1115438165 
1784484492 74243042 114807987 1137522503 
1441282327 16531729 823378840 143542612 
896544303 1474833169 1264817709 1998097157 
1817129560 1131570933 197493099 1404280278 
893351816 1505795335 1954899097 1636807826 
563613512 101929267 1580723810 704877633 
1358580979 1624379149 2128236579 784558821 
530511967 2110010672 1551901393 1617819336 
1399125485 156091745 1356425228 1899894091 
585640194 937186357 1646035001 1025921153 
510616708 590357944 771515668 357571490 
1044788124 1927702196 1952509530 130060903 
1942727722 1083454666 1108728549 685118024 
2118797801 1060806853 571540977 194847408 
2035308228 158374933 1075260298 824938981 
595028635 1962408013 1137623865 997389814 
2020739063 107554536 1635339425 1654001669 
1777724115 269220094 34075629 1478446501 
1864546517 1351934195 1581030105 1557810404 
2146319451 1908194298 500782188 657821123 
753799505 1102246882 1269406752 1816731566 
884936716 1807130337 578354438 892053144 

**** After Team Of Four Operation ****


16807 282475249 984943658 1622650073 
101027544 470211272 1144108930 1457850878 
823564440 1115438165 1458777923 2007237709 
74243042 114807987 1137522503 1784484492 
16531729 143542612 823378840 1441282327 
896544303 1264817709 1474833169 1998097157 
197493099 1131570933 1404280278 1817129560 
893351816 1505795335 1636807826 1954899097 
101929267 563613512 704877633 1580723810 
784558821 1358580979 1624379149 2128236579 
530511967 1551901393 1617819336 2110010672 
156091745 1356425228 1399125485 1899894091 
585640194 937186357 1025921153 1646035001 
357571490 510616708 590357944 771515668 
130060903 1044788124 1927702196 1952509530 
685118024 1083454666 1108728549 1942727722 
194847408 571540977 1060806853 2118797801 
158374933 824938981 1075260298 2035308228 
595028635 997389814 1137623865 1962408013 
107554536 1635339425 1654001669 2020739063 
34075629 269220094 1478446501 1777724115 
1351934195 1557810404 1581030105 1864546517 
500782188 657821123 1908194298 2146319451 
753799505 1102246882 1269406752 1816731566 
578354438 884936716 892053144 1807130337 

---------------------------------

---------------------------------

**** Before Reverse Operation  ****


16807 282475249 984943658 1622650073 
101027544 470211272 1144108930 1457850878 
823564440 1115438165 1458777923 2007237709 
74243042 114807987 1137522503 1784484492 
16531729 143542612 823378840 1441282327 
896544303 1264817709 1474833169 1998097157 
197493099 1131570933 1404280278 1817129560 
893351816 1505795335 1636807826 1954899097 
101929267 563613512 704877633 1580723810 
784558821 1358580979 1624379149 2128236579 
530511967 1551901393 1617819336 2110010672 
